,Time,NEW,SAME,EXCLUDED
0,22_37 - 16_40,15,168,62
1,16_40 - 12_32,15,139,44
2,12_32 - 11_37,16,144,10
3,11_37 - 19_13,73,123,37
4,19_13 - 15_37,11,164,32
5,15_37 - 18_21,25,165,10
6,18_21 - 13_38,17,139,51
7,13_38 - 16_22,35,147,9
8,16_22 - 10_59,34,125,57
9,10_59 - 17_15,64,121,38
10,17_15 - 19_38,21,176,9
11,19_38 - 20_17,4,196,1
12,20_17 - 23_19,44,193,7
13,23_19 - 14_15,18,143,94
14,14_15 - 11_13,29,133,28
15,11_13 - 15_17,41,131,31
16,15_17 - 22_16,73,157,15
17,22_16 - 20_37,4,201,29
18,20_37 - 14_38,15,151,54
19,14_38 - 18_38,39,153,13
20,18_38 - 21_14,27,186,6
21,21_14 - 11_14,42,120,93
22,11_14 - 17_37,61,124,38
23,17_37 - 21_38,39,177,8
